Type,Filename,Size,File_Date,Git_Date,Git_Message,Status_INDEX,Status_File,Category,Pair,Notes
PRD,PRD-0001-sdk-extraction.md,25K,2025-12-08,2025-12-09 12:01:40,initial commit,Approved,Unknown,Numbered,TDD-0001,Baseline doc
PRD,PRD-0002-intelligent-caching.md,33K,2025-12-09,2025-12-09 12:01:40,initial commit,Implemented,Draft,Numbered,TDD-0008,STATUS MISMATCH - Code updated Dec 24
PRD,PRD-0003-structured-dataframe-layer.md,47K,2025-12-09,2025-12-10 21:13:48,feat: Documentation Empowerment Sprint,In Review,Unknown,Numbered,TDD-0009,
PRD,PRD-0003.1-dynamic-custom-field-resolution.md,19K,2025-12-09,2025-12-10 21:13:48,feat: Documentation Empowerment Sprint,Draft,Unknown,Numbered,TDD-0009.1,
PRD,PRD-0004-test-hang-fix.md,8.9K,2025-12-09,2025-12-10 21:13:48,feat: Documentation Empowerment Sprint,Implemented,Unknown,Numbered,None,Missing TDD
PRD,PRD-0005-save-orchestration.md,39K,2025-12-10,2025-12-10 21:13:48,feat: Documentation Empowerment Sprint,Implemented,Unknown,Numbered,TDD-0010,STALE - Healing system added Dec 15
PRD,PRD-0006-action-endpoint-support.md,28K,2025-12-10,2025-12-10 21:13:48,feat: Documentation Empowerment Sprint,Draft,Unknown,Numbered,TDD-0011,
PRD,PRD-0007-sdk-functional-parity.md,34K,2025-12-10,2025-12-10 21:13:48,feat: Documentation Empowerment Sprint,Implemented,Unknown,Numbered,TDD-0012,STATUS MISMATCH
PRD,PRD-0008-parent-subtask-operations.md,17K,2025-12-10,2025-12-10 21:13:48,feat: Documentation Empowerment Sprint,Implemented,Unknown,Numbered,TDD-0013,STATUS MISMATCH
PRD,PRD-0009-sdk-ga-readiness.md,16K,2025-12-10,2025-12-10 21:13:48,feat: Documentation Empowerment Sprint,Draft,Unknown,Numbered,TDD-0014,
PRD,PRD-0010-business-model-layer.md,28K,2025-12-11,2025-12-17 11:25:46,docs: Complete documentation refactor,Draft,Unknown,Numbered,TDD-0027/0028,STALE - Code updated Dec 15
PRD,PRD-0011-sdk-demonstration-suite.md,23K,2025-12-12,2025-12-17 11:25:46,docs: Complete documentation refactor,Draft,Unknown,Numbered,TDD-0029,
PRD,PRD-0012-sdk-usability-improvements.md,44K,2025-12-12,2025-12-17 11:25:46,docs: Complete documentation refactor,Approved,Unknown,Numbered,TDD-0015,Largest PRD
PRD,PRD-0013-hierarchy-hydration.md,29K,2025-12-16,2025-12-17 11:25:46,docs: Complete documentation refactor,Implemented,Unknown,Numbered,TDD-0017,STATUS MISMATCH
PRD,PRD-0014-cross-holder-resolution.md,30K,2025-12-16,2025-12-17 11:25:46,docs: Complete documentation refactor,Implemented,Unknown,Numbered,TDD-0018,STATUS MISMATCH
PRD,PRD-0015-foundation-hardening.md,22K,2025-12-16,2025-12-17 11:25:46,docs: Complete documentation refactor,Draft,Unknown,Numbered,TDD-0019,
PRD,PRD-0016-custom-field-tracking.md,19K,2025-12-16,2025-12-17 11:25:46,docs: Complete documentation refactor,Draft,Unknown,Numbered,TDD-0020,
PRD,PRD-0017-navigation-descriptors.md,29K,2025-12-16,2025-12-17 11:25:46,docs: Complete documentation refactor,Draft,Unknown,Numbered,TDD-0021,
PRD,PRD-0018-savesession-reliability.md,20K,2025-12-16,2025-12-17 11:25:46,docs: Complete documentation refactor,Draft,Unknown,Numbered,TDD-0022,
PRD,PRD-0019-custom-field-descriptors.md,36K,2025-12-16,2025-12-17 11:25:46,docs: Complete documentation refactor,Draft,Unknown,Numbered,TDD-0023,
PRD,PRD-0020-holder-factory.md,9.7K,2025-12-16,2025-12-17 11:25:46,docs: Complete documentation refactor,Implemented,Unknown,Numbered,TDD-0024,STATUS MISMATCH - Implemented Dec 16
PRD,PRD-0021-async-method-generator.md,5.0K,2025-12-16,2025-12-17 11:25:46,docs: Complete documentation refactor,Active,Unknown,Numbered,TDD-0025,SUPERSEDED by @async_method decorator
PRD,PRD-0022-crud-base-class.md,6.9K,2025-12-16,2025-12-17 11:25:46,docs: Complete documentation refactor,Active,Unknown,Numbered,TDD-0026,REJECTED - TDD says NO-GO
PRD,PRD-0023-qa-triage-fixes.md,25K,2025-12-12,2025-12-17 11:25:46,docs: Complete documentation refactor,Ready,Unknown,Numbered,TDD-0016,
PRD,PRD-0024-custom-field-remediation.md,14K,2025-12-18,2025-12-22 12:49:22,docs: Add comprehensive documentation,Draft,Unknown,Numbered,TDD-CUSTOM-FIELD-REMEDIATION,
PRD,PRD-AUTOMATION-LAYER.md,13K,2025-12-18,2025-12-22 12:49:22,docs: Add comprehensive documentation,Draft,Unknown,Named,TDD-AUTOMATION-LAYER,
PRD,PRD-CACHE-INTEGRATION.md,31K,2025-12-22,2025-12-22 12:40:52,feat(cache): Activate dormant cache,Implemented,Unknown,Named,TDD-CACHE-INTEGRATION,STATUS MISMATCH
PRD,PRD-CACHE-LIGHTWEIGHT-STALENESS.md,27K,2025-12-23,2025-12-24 01:50:25,feat(cache): Lightweight staleness,Draft,Unknown,Named,TDD-CACHE-LIGHTWEIGHT-STALENESS,Recent - well synchronized
PRD,PRD-CACHE-OPTIMIZATION-P2.md,14K,2025-12-23,2025-12-23 22:07:25,feat(cache): Phase 2 - 10x improvement,Implemented,Unknown,Named,TDD-CACHE-OPTIMIZATION-P2,Validated - VP PASS
PRD,PRD-CACHE-OPTIMIZATION-P3.md,20K,2025-12-23,2025-12-24 01:50:25,feat(cache): Lightweight staleness,Implemented,Unknown,Named,TDD-CACHE-OPTIMIZATION-P3,Validated - VP PASS
PRD,PRD-CACHE-PERF-DETECTION.md,18K,2025-12-23,2025-12-23 22:07:25,feat(cache): Phase 2 - 10x improvement,Implemented,Unknown,Named,TDD-CACHE-PERF-DETECTION,
PRD,PRD-CACHE-PERF-FETCH-PATH.md,16K,2025-12-23,2025-12-23 22:07:25,feat(cache): Phase 2 - 10x improvement,Implemented,Unknown,Named,TDD-CACHE-PERF-FETCH-PATH,Validated - VP PASS
PRD,PRD-CACHE-PERF-HYDRATION.md,18K,2025-12-23,2025-12-23 22:07:25,feat(cache): Phase 2 - 10x improvement,Draft,Unknown,Named,TDD-CACHE-PERF-HYDRATION,
PRD,PRD-CACHE-PERF-STORIES.md,25K,2025-12-23,2025-12-23 22:07:25,feat(cache): Phase 2 - 10x improvement,Implemented,Unknown,Named,TDD-CACHE-PERF-STORIES,
PRD,PRD-DETECTION.md,34K,2025-12-18,2025-12-22 12:49:22,docs: Add comprehensive documentation,Draft,Unknown,Named,TDD-DETECTION,Implemented Dec 15
PRD,PRD-DOCS-EPOCH-RESET.md,16K,2025-12-18,2025-12-22 12:49:22,docs: Add comprehensive documentation,Active,Unknown,Named,TDD-DOCS-EPOCH-RESET,
PRD,PRD-FIELD-SEEDING-GAP.md,16K,2025-12-18,2025-12-22 12:49:22,docs: Add comprehensive documentation,Unknown,Analysis Complete,Named,TDD-FIELD-SEEDING-CONFIG,Analysis doc - not formal PRD
PRD,PRD-PIPELINE-AUTOMATION-ENHANCEMENT.md,21K,2025-12-18,2025-12-22 12:49:22,docs: Add comprehensive documentation,Draft,Unknown,Named,TDD-PIPELINE-AUTOMATION-ENHANCEMENT,
PRD,PRD-PROCESS-PIPELINE-AMENDMENT.md,12K,2025-12-19,2025-12-22 12:49:22,docs: Add comprehensive documentation,Draft,Unknown,Named,None,Amendment to PRD-PROCESS-PIPELINE
PRD,PRD-PROCESS-PIPELINE.md,18K,2025-12-19,2025-12-22 12:49:22,docs: Add comprehensive documentation,Superseded,Partially Superseded,Named,TDD-PROCESS-PIPELINE,FR-REG-* superseded by ADR-0101
PRD,PRD-SPRINT-1-PATTERN-COMPLETION.md,13K,2025-12-19,2025-12-22 12:49:22,docs: Add comprehensive documentation,Unknown,Draft,Named,TDD-SPRINT-1,Planning doc? Should archive or relocate
PRD,PRD-SPRINT-3-DETECTION-DECOMPOSITION.md,15K,2025-12-19,2025-12-22 12:49:22,docs: Add comprehensive documentation,Unknown,Draft,Named,TDD-SPRINT-3,Planning doc? Should archive or relocate
PRD,PRD-SPRINT-4-SAVESESSION-DECOMPOSITION.md,17K,2025-12-19,2025-12-22 12:49:22,docs: Add comprehensive documentation,Unknown,Draft,Named,TDD-SPRINT-4,Planning doc? Should archive or relocate
PRD,PRD-SPRINT-5-CLEANUP.md,17K,2025-12-19,2025-12-22 12:49:22,docs: Add comprehensive documentation,Unknown,Draft,Named,TDD-SPRINT-5,Planning doc? Should archive or relocate
PRD,PRD-TECH-DEBT-REMEDIATION.md,17K,2025-12-19,2025-12-22 12:49:22,docs: Add comprehensive documentation,Unknown,Unknown,Named,TDD-TECH-DEBT-REMEDIATION,Implemented Dec 15
